customer_id_externo;mrr;billing_profile;days_since_last;features_used_30d;email
saudavel-0045;186,80;PJ;2;15;financeiro+saudavel-0045@exemplo.com.br
saudavel-0046;243,40;freelancer;1;17;financeiro+saudavel-0046@exemplo.com.br
saudavel-0047;39,90;freelancer;0;9;financeiro+saudavel-0047@exemplo.com.br
saudavel-0048;263,17;CLT;2;14;financeiro+saudavel-0048@exemplo.com.br
saudavel-0049;153,96;freelancer;0;15;financeiro+saudavel-0049@exemplo.com.br
saudavel-0050;75,62;freelancer;1;11;financeiro+saudavel-0050@exemplo.com.br
saudavel-0051;53,77;PJ;1;19;financeiro+saudavel-0051@exemplo.com.br
saudavel-0052;121,89;CLT;1;12;financeiro+saudavel-0052@exemplo.com.br
saudavel-0053;181,71;PJ;2;10;financeiro+saudavel-0053@exemplo.com.br
saudavel-0054;104,50;PJ;0;13;financeiro+saudavel-0054@exemplo.com.br
saudavel-0055;402,79;CLT;2;12;financeiro+saudavel-0055@exemplo.com.br
saudavel-0056;128,11;freelancer;2;14;financeiro+saudavel-0056@exemplo.com.br
saudavel-0057;48,64;CLT;0;12;financeiro+saudavel-0057@exemplo.com.br
saudavel-0058;99,72;PJ;0;13;financeiro+saudavel-0058@exemplo.com.br
saudavel-0059;88,67;PJ;1;17;financeiro+saudavel-0059@exemplo.com.br
saudavel-0060;139,46;PJ;0;16;financeiro+saudavel-0060@exemplo.com.br
saudavel-0061;590,97;CLT;1;20;financeiro+saudavel-0061@exemplo.com.br
saudavel-0062;128,74;CLT;0;15;financeiro+saudavel-0062@exemplo.com.br
saudavel-0063;180,78;PJ;0;16;financeiro+saudavel-0063@exemplo.com.br
saudavel-0064;43,31;PJ;0;14;financeiro+saudavel-0064@exemplo.com.br
saudavel-0065;250,80;PJ;2;10;financeiro+saudavel-0065@exemplo.com.br
saudavel-0066;172,38;CLT;0;18;financeiro+saudavel-0066@exemplo.com.br
saudavel-0067;84,28;PJ;2;12;financeiro+saudavel-0067@exemplo.com.br
saudavel-0068;101,91;PJ;2;12;financeiro+saudavel-0068@exemplo.com.br
saudavel-0069;298,59;CLT;0;16;financeiro+saudavel-0069@exemplo.com.br
saudavel-0070;71,97;PJ;0;15;financeiro+saudavel-0070@exemplo.com.br
saudavel-0071;93,07;CLT;2;10;financeiro+saudavel-0071@exemplo.com.br
saudavel-0072;158,43;freelancer;2;9;financeiro+saudavel-0072@exemplo.com.br
saudavel-0073;142,80;CLT;3;9;financeiro+saudavel-0073@exemplo.com.br
saudavel-0074;39,90;CLT;3;16;financeiro+saudavel-0074@exemplo.com.br
saudavel-0075;47,55;CLT;0;16;financeiro+saudavel-0075@exemplo.com.br
saudavel-0076;324,02;PJ;0;10;financeiro+saudavel-0076@exemplo.com.br
saudavel-0077;83,50;CLT;2;11;financeiro+saudavel-0077@exemplo.com.br
saudavel-0078;168,29;CLT;0;18;financeiro+saudavel-0078@exemplo.com.br
saudavel-0079;92,59;freelancer;0;8;financeiro+saudavel-0079@exemplo.com.br
saudavel-0080;128,77;freelancer;0;15;financeiro+saudavel-0080@exemplo.com.br
saudavel-0081;106,20;CLT;1;13;financeiro+saudavel-0081@exemplo.com.br
saudavel-0082;111,63;freelancer;1;15;financeiro+saudavel-0082@exemplo.com.br
saudavel-0083;80,60;freelancer;3;8;financeiro+saudavel-0083@exemplo.com.br
saudavel-0084;248,55;PJ;0;10;financeiro+saudavel-0084@exemplo.com.br
saudavel-0085;56,26;freelancer;2;15;financeiro+saudavel-0085@exemplo.com.br
saudavel-0086;226,35;CLT;1;18;financeiro+saudavel-0086@exemplo.com.br
saudavel-0087;75,76;PJ;2;12;financeiro+saudavel-0087@exemplo.com.br
saudavel-0088;184,61;CLT;0;14;financeiro+saudavel-0088@exemplo.com.br
saudavel-0089;99,84;PJ;0;14;financeiro+saudavel-0089@exemplo.com.br
saudavel-0090;169,18;PJ;0;17;financeiro+saudavel-0090@exemplo.com.br
saudavel-0091;109,27;CLT;2;17;financeiro+saudavel-0091@exemplo.com.br
saudavel-0092;74,62;freelancer;1;9;financeiro+saudavel-0092@exemplo.com.br
saudavel-0093;135,66;CLT;1;19;financeiro+saudavel-0093@exemplo.com.br
saudavel-0094;110,62;PJ;0;14;financeiro+saudavel-0094@exemplo.com.br
saudavel-0095;88,25;PJ;1;16;financeiro+saudavel-0095@exemplo.com.br
saudavel-0096;169,90;PJ;0;10;financeiro+saudavel-0096@exemplo.com.br
saudavel-0097;167,57;freelancer;1;20;financeiro+saudavel-0097@exemplo.com.br
saudavel-0098;111,85;PJ;3;15;financeiro+saudavel-0098@exemplo.com.br
saudavel-0099;246,70;PJ;1;15;financeiro+saudavel-0099@exemplo.com.br
saudavel-0100;53,89;PJ;0;10;financeiro+saudavel-0100@exemplo.com.br
saudavel-0101;39,90;PJ;0;14;financeiro+saudavel-0101@exemplo.com.br
saudavel-0102;60,20;PJ;0;11;financeiro+saudavel-0102@exemplo.com.br
saudavel-0103;229,71;CLT;1;14;financeiro+saudavel-0103@exemplo.com.br
saudavel-0104;168,45;freelancer;2;18;financeiro+saudavel-0104@exemplo.com.br
saudavel-0105;60,24;CLT;0;10;financeiro+saudavel-0105@exemplo.com.br
saudavel-0106;123,38;freelancer;3;13;financeiro+saudavel-0106@exemplo.com.br
saudavel-0107;101,98;CLT;1;19;financeiro+saudavel-0107@exemplo.com.br
saudavel-0108;91,39;CLT;0;14;financeiro+saudavel-0108@exemplo.com.br
saudavel-0109;127,62;PJ;1;17;financeiro+saudavel-0109@exemplo.com.br
saudavel-0110;72,46;freelancer;0;12;financeiro+saudavel-0110@exemplo.com.br
saudavel-0111;295,93;freelancer;0;13;financeiro+saudavel-0111@exemplo.com.br
saudavel-0112;70,15;PJ;2;12;financeiro+saudavel-0112@exemplo.com.br
saudavel-0113;214,37;PJ;3;12;financeiro+saudavel-0113@exemplo.com.br
saudavel-0114;205,59;CLT;1;18;financeiro+saudavel-0114@exemplo.com.br
saudavel-0115;87,31;freelancer;0;10;financeiro+saudavel-0115@exemplo.com.br
saudavel-0116;134,37;freelancer;0;8;financeiro+saudavel-0116@exemplo.com.br
saudavel-0117;210,62;CLT;;;financeiro+saudavel-0117@exemplo.com.br
saudavel-0118;316,88;freelancer;0;14;financeiro+saudavel-0118@exemplo.com.br
saudavel-0119;218,41;CLT;1;8;financeiro+saudavel-0119@exemplo.com.br
saudavel-0120;112,33;CLT;3;9;financeiro+saudavel-0120@exemplo.com.br
saudavel-0121;104,98;freelancer;1;11;financeiro+saudavel-0121@exemplo.com.br
saudavel-0122;39,90;PJ;3;15;financeiro+saudavel-0122@exemplo.com.br
saudavel-0123;458,98;CLT;1;12;financeiro+saudavel-0123@exemplo.com.br
saudavel-0124;80,10;PJ;0;17;financeiro+saudavel-0124@exemplo.com.br
saudavel-0125;124,83;freelancer;2;12;financeiro+saudavel-0125@exemplo.com.br
saudavel-0126;39,90;PJ;0;14;financeiro+saudavel-0126@exemplo.com.br
saudavel-0127;71,90;CLT;4;14;financeiro+saudavel-0127@exemplo.com.br
saudavel-0128;89,82;CLT;2;20;financeiro+saudavel-0128@exemplo.com.br
saudavel-0129;62,77;CLT;3;13;financeiro+saudavel-0129@exemplo.com.br
saudavel-0130;59,96;CLT;1;12;financeiro+saudavel-0130@exemplo.com.br
saudavel-0131;145,07;CLT;1;17;financeiro+saudavel-0131@exemplo.com.br
saudavel-0132;39,90;PJ;4;11;financeiro+saudavel-0132@exemplo.com.br
saudavel-0133;183,43;freelancer;0;15;financeiro+saudavel-0133@exemplo.com.br
saudavel-0134;163,70;PJ;0;10;financeiro+saudavel-0134@exemplo.com.br
saudavel-0135;104,28;CLT;1;13;financeiro+saudavel-0135@exemplo.com.br
saudavel-0136;44,30;freelancer;1;11;financeiro+saudavel-0136@exemplo.com.br
saudavel-0137;120,74;freelancer;4;13;financeiro+saudavel-0137@exemplo.com.br
saudavel-0138;273,18;CLT;2;19;financeiro+saudavel-0138@exemplo.com.br
saudavel-0139;77,59;freelancer;0;16;financeiro+saudavel-0139@exemplo.com.br
saudavel-0140;141,17;CLT;2;12;financeiro+saudavel-0140@exemplo.com.br
saudavel-0141;171,89;freelancer;1;14;financeiro+saudavel-0141@exemplo.com.br
saudavel-0142;39,90;CLT;0;16;financeiro+saudavel-0142@exemplo.com.br
saudavel-0143;103,68;freelancer;0;15;financeiro+saudavel-0143@exemplo.com.br
saudavel-0144;288,00;PJ;0;15;financeiro+saudavel-0144@exemplo.com.br
saudavel-0145;89,79;freelancer;2;12;financeiro+saudavel-0145@exemplo.com.br
saudavel-0146;227,90;PJ;0;12;financeiro+saudavel-0146@exemplo.com.br
saudavel-0147;107,92;PJ;1;8;financeiro+saudavel-0147@exemplo.com.br
saudavel-0148;169,78;CLT;0;17;financeiro+saudavel-0148@exemplo.com.br
saudavel-0149;90,41;freelancer;1;14;financeiro+saudavel-0149@exemplo.com.br
saudavel-0150;91,73;PJ;0;19;financeiro+saudavel-0150@exemplo.com.br
saudavel-0151;153,96;CLT;0;11;financeiro+saudavel-0151@exemplo.com.br
saudavel-0152;61,95;CLT;;;financeiro+saudavel-0152@exemplo.com.br
saudavel-0153;134,49;freelancer;0;11;financeiro+saudavel-0153@exemplo.com.br
saudavel-0154;62,65;PJ;1;20;financeiro+saudavel-0154@exemplo.com.br
saudavel-0155;295,70;freelancer;1;13;financeiro+saudavel-0155@exemplo.com.br
saudavel-0156;183,28;freelancer;1;9;financeiro+saudavel-0156@exemplo.com.br
saudavel-0157;101,24;freelancer;0;13;financeiro+saudavel-0157@exemplo.com.br
saudavel-0158;163,43;CLT;1;9;financeiro+saudavel-0158@exemplo.com.br
saudavel-0159;90,21;freelancer;0;15;financeiro+saudavel-0159@exemplo.com.br
saudavel-0160;39,90;freelancer;0;8;financeiro+saudavel-0160@exemplo.com.br
saudavel-0161;263,61;PJ;1;12;financeiro+saudavel-0161@exemplo.com.br
saudavel-0162;71,73;freelancer;2;12;financeiro+saudavel-0162@exemplo.com.br
saudavel-0163;154,56;freelancer;1;16;financeiro+saudavel-0163@exemplo.com.br
saudavel-0164;92,77;PJ;2;11;financeiro+saudavel-0164@exemplo.com.br
saudavel-0165;95,27;CLT;1;14;financeiro+saudavel-0165@exemplo.com.br
saudavel-0166;267,55;PJ;0;16;financeiro+saudavel-0166@exemplo.com.br
saudavel-0167;113,56;CLT;1;12;financeiro+saudavel-0167@exemplo.com.br
saudavel-0168;164,19;freelancer;0;9;financeiro+saudavel-0168@exemplo.com.br
saudavel-0169;39,90;PJ;0;15;financeiro+saudavel-0169@exemplo.com.br
saudavel-0170;59,68;freelancer;1;13;financeiro+saudavel-0170@exemplo.com.br
saudavel-0171;99,03;CLT;0;11;financeiro+saudavel-0171@exemplo.com.br
saudavel-0172;77,48;CLT;0;10;financeiro+saudavel-0172@exemplo.com.br
saudavel-0173;154,90;PJ;0;15;financeiro+saudavel-0173@exemplo.com.br
saudavel-0174;129,22;PJ;0;10;financeiro+saudavel-0174@exemplo.com.br
saudavel-0175;401,04;freelancer;0;19;financeiro+saudavel-0175@exemplo.com.br
saudavel-0176;75,76;freelancer;;;financeiro+saudavel-0176@exemplo.com.br
saudavel-0177;144,92;PJ;0;13;financeiro+saudavel-0177@exemplo.com.br
saudavel-0178;98,30;freelancer;3;13;financeiro+saudavel-0178@exemplo.com.br
saudavel-0179;56,65;CLT;2;9;financeiro+saudavel-0179@exemplo.com.br
saudavel-0180;123,09;freelancer;1;17;financeiro+saudavel-0180@exemplo.com.br
saudavel-0181;170,98;CLT;2;16;financeiro+saudavel-0181@exemplo.com.br
saudavel-0182;74,37;PJ;2;10;financeiro+saudavel-0182@exemplo.com.br
saudavel-0183;223,65;PJ;4;13;financeiro+saudavel-0183@exemplo.com.br
saudavel-0184;127,51;CLT;0;14;financeiro+saudavel-0184@exemplo.com.br
saudavel-0185;95,12;freelancer;0;12;financeiro+saudavel-0185@exemplo.com.br
saudavel-0186;198,78;freelancer;0;9;financeiro+saudavel-0186@exemplo.com.br
saudavel-0187;186,68;CLT;;;financeiro+saudavel-0187@exemplo.com.br
saudavel-0188;112,69;freelancer;2;11;financeiro+saudavel-0188@exemplo.com.br
saudavel-0189;65,83;freelancer;0;20;financeiro+saudavel-0189@exemplo.com.br
saudavel-0190;316,03;PJ;3;17;financeiro+saudavel-0190@exemplo.com.br
saudavel-0191;221,66;freelancer;2;10;financeiro+saudavel-0191@exemplo.com.br
saudavel-0192;49,23;freelancer;2;16;financeiro+saudavel-0192@exemplo.com.br
saudavel-0193;292,61;CLT;2;14;financeiro+saudavel-0193@exemplo.com.br
saudavel-0194;105,78;CLT;2;12;financeiro+saudavel-0194@exemplo.com.br
saudavel-0195;66,24;PJ;0;15;financeiro+saudavel-0195@exemplo.com.br
saudavel-0196;203,32;CLT;0;18;financeiro+saudavel-0196@exemplo.com.br
saudavel-0197;259,81;freelancer;0;18;financeiro+saudavel-0197@exemplo.com.br
saudavel-0198;85,00;freelancer;3;18;financeiro+saudavel-0198@exemplo.com.br
saudavel-0199;94,50;PJ;2;18;financeiro+saudavel-0199@exemplo.com.br
saudavel-0200;101,97;CLT;3;15;financeiro+saudavel-0200@exemplo.com.br
saudavel-0201;69,48;CLT;1;19;financeiro+saudavel-0201@exemplo.com.br
saudavel-0202;92,84;CLT;1;20;financeiro+saudavel-0202@exemplo.com.br
saudavel-0203;139,80;PJ;3;17;financeiro+saudavel-0203@exemplo.com.br
saudavel-0204;159,73;freelancer;1;14;financeiro+saudavel-0204@exemplo.com.br
saudavel-0205;85,64;CLT;0;16;financeiro+saudavel-0205@exemplo.com.br
saudavel-0206;433,16;CLT;3;12;financeiro+saudavel-0206@exemplo.com.br
saudavel-0207;204,64;CLT;0;18;financeiro+saudavel-0207@exemplo.com.br
saudavel-0208;131,13;freelancer;0;11;financeiro+saudavel-0208@exemplo.com.br
saudavel-0209;144,94;freelancer;2;11;financeiro+saudavel-0209@exemplo.com.br
saudavel-0210;251,16;CLT;1;18;financeiro+saudavel-0210@exemplo.com.br
saudavel-0211;107,85;freelancer;3;12;financeiro+saudavel-0211@exemplo.com.br
saudavel-0212;122,31;PJ;0;14;financeiro+saudavel-0212@exemplo.com.br
saudavel-0213;163,31;freelancer;2;14;financeiro+saudavel-0213@exemplo.com.br
saudavel-0214;82,21;CLT;2;17;financeiro+saudavel-0214@exemplo.com.br
saudavel-0215;171,56;PJ;3;11;financeiro+saudavel-0215@exemplo.com.br
saudavel-0216;93,14;PJ;2;12;financeiro+saudavel-0216@exemplo.com.br
saudavel-0217;59,17;PJ;1;19;financeiro+saudavel-0217@exemplo.com.br
saudavel-0218;165,26;freelancer;3;18;financeiro+saudavel-0218@exemplo.com.br
saudavel-0219;103,03;CLT;1;12;financeiro+saudavel-0219@exemplo.com.br
saudavel-0220;131,15;freelancer;0;12;financeiro+saudavel-0220@exemplo.com.br
saudavel-0221;213,91;CLT;1;16;financeiro+saudavel-0221@exemplo.com.br
saudavel-0222;121,19;PJ;0;12;financeiro+saudavel-0222@exemplo.com.br
saudavel-0223;240,44;freelancer;1;13;financeiro+saudavel-0223@exemplo.com.br
saudavel-0224;119,97;CLT;3;10;financeiro+saudavel-0224@exemplo.com.br
saudavel-0225;180,97;freelancer;1;14;financeiro+saudavel-0225@exemplo.com.br
saudavel-0226;77,40;freelancer;3;9;financeiro+saudavel-0226@exemplo.com.br
saudavel-0227;143,27;freelancer;;;financeiro+saudavel-0227@exemplo.com.br
saudavel-0228;58,97;PJ;1;10;financeiro+saudavel-0228@exemplo.com.br
saudavel-0229;124,49;freelancer;1;14;financeiro+saudavel-0229@exemplo.com.br
saudavel-0230;168,87;CLT;0;11;financeiro+saudavel-0230@exemplo.com.br
saudavel-0231;216,74;freelancer;1;14;financeiro+saudavel-0231@exemplo.com.br
saudavel-0232;72,91;CLT;1;19;financeiro+saudavel-0232@exemplo.com.br
saudavel-0233;172,62;PJ;3;8;financeiro+saudavel-0233@exemplo.com.br
saudavel-0234;287,21;CLT;2;10;financeiro+saudavel-0234@exemplo.com.br
saudavel-0235;50,16;CLT;3;19;financeiro+saudavel-0235@exemplo.com.br
saudavel-0236;60,25;freelancer;0;16;financeiro+saudavel-0236@exemplo.com.br
saudavel-0237;123,01;freelancer;1;9;financeiro+saudavel-0237@exemplo.com.br
saudavel-0238;52,02;freelancer;1;14;financeiro+saudavel-0238@exemplo.com.br
saudavel-0239;112,99;PJ;0;13;financeiro+saudavel-0239@exemplo.com.br
saudavel-0240;56,04;PJ;2;20;financeiro+saudavel-0240@exemplo.com.br
saudavel-0241;80,83;freelancer;0;15;financeiro+saudavel-0241@exemplo.com.br
saudavel-0242;304,41;PJ;2;19;financeiro+saudavel-0242@exemplo.com.br
saudavel-0243;175,14;PJ;2;14;financeiro+saudavel-0243@exemplo.com.br
saudavel-0244;118,39;freelancer;1;13;financeiro+saudavel-0244@exemplo.com.br
saudavel-0245;306,98;PJ;2;9;financeiro+saudavel-0245@exemplo.com.br
saudavel-0246;91,90;PJ;4;16;financeiro+saudavel-0246@exemplo.com.br
saudavel-0247;82,35;freelancer;2;12;financeiro+saudavel-0247@exemplo.com.br
saudavel-0248;217,36;freelancer;3;16;financeiro+saudavel-0248@exemplo.com.br
saudavel-0249;172,72;freelancer;1;11;financeiro+saudavel-0249@exemplo.com.br
saudavel-0250;148,94;PJ;0;18;financeiro+saudavel-0250@exemplo.com.br
saudavel-0251;76,48;CLT;0;11;financeiro+saudavel-0251@exemplo.com.br
saudavel-0252;294,80;CLT;1;10;financeiro+saudavel-0252@exemplo.com.br
saudavel-0253;161,34;freelancer;1;17;financeiro+saudavel-0253@exemplo.com.br
saudavel-0254;81,07;CLT;2;17;financeiro+saudavel-0254@exemplo.com.br
saudavel-0255;146,52;freelancer;2;8;financeiro+saudavel-0255@exemplo.com.br
saudavel-0256;104,43;CLT;1;13;financeiro+saudavel-0256@exemplo.com.br
saudavel-0257;128,16;CLT;3;10;financeiro+saudavel-0257@exemplo.com.br
saudavel-0258;41,94;CLT;3;9;financeiro+saudavel-0258@exemplo.com.br
saudavel-0259;127,77;freelancer;2;14;financeiro+saudavel-0259@exemplo.com.br
saudavel-0260;136,59;CLT;0;18;financeiro+saudavel-0260@exemplo.com.br
saudavel-0261;405,95;PJ;1;15;financeiro+saudavel-0261@exemplo.com.br
saudavel-0262;125,76;freelancer;3;20;financeiro+saudavel-0262@exemplo.com.br
saudavel-0263;97,54;PJ;0;19;financeiro+saudavel-0263@exemplo.com.br
saudavel-0264;160,77;freelancer;4;18;financeiro+saudavel-0264@exemplo.com.br
saudavel-0265;241,06;freelancer;1;12;financeiro+saudavel-0265@exemplo.com.br
saudavel-0266;99,80;CLT;0;8;financeiro+saudavel-0266@exemplo.com.br
saudavel-0267;39,90;freelancer;0;14;financeiro+saudavel-0267@exemplo.com.br
saudavel-0268;55,51;CLT;2;20;financeiro+saudavel-0268@exemplo.com.br
saudavel-0269;44,34;PJ;1;18;financeiro+saudavel-0269@exemplo.com.br
saudavel-0270;80,15;CLT;0;13;financeiro+saudavel-0270@exemplo.com.br
saudavel-0271;40,24;freelancer;0;14;financeiro+saudavel-0271@exemplo.com.br
saudavel-0272;200,23;CLT;1;13;financeiro+saudavel-0272@exemplo.com.br
saudavel-0273;396,04;PJ;2;18;financeiro+saudavel-0273@exemplo.com.br
saudavel-0274;213,39;CLT;1;10;financeiro+saudavel-0274@exemplo.com.br
saudavel-0275;67,37;CLT;1;15;financeiro+saudavel-0275@exemplo.com.br
saudavel-0276;112,88;freelancer;2;16;financeiro+saudavel-0276@exemplo.com.br
saudavel-0277;110,06;PJ;3;10;financeiro+saudavel-0277@exemplo.com.br
saudavel-0278;523,77;CLT;0;15;financeiro+saudavel-0278@exemplo.com.br
saudavel-0279;232,62;PJ;1;15;financeiro+saudavel-0279@exemplo.com.br
saudavel-0280;214,21;CLT;1;11;financeiro+saudavel-0280@exemplo.com.br
saudavel-0281;147,77;CLT;1;11;financeiro+saudavel-0281@exemplo.com.br
saudavel-0282;67,70;PJ;1;12;financeiro+saudavel-0282@exemplo.com.br
saudavel-0283;232,17;CLT;0;16;financeiro+saudavel-0283@exemplo.com.br
saudavel-0284;292,05;CLT;1;14;financeiro+saudavel-0284@exemplo.com.br
saudavel-0285;215,62;CLT;2;20;financeiro+saudavel-0285@exemplo.com.br
saudavel-0286;109,78;freelancer;3;9;financeiro+saudavel-0286@exemplo.com.br
saudavel-0287;131,96;PJ;0;14;financeiro+saudavel-0287@exemplo.com.br
saudavel-0288;467,81;PJ;2;13;financeiro+saudavel-0288@exemplo.com.br
saudavel-0289;694,76;PJ;3;18;financeiro+saudavel-0289@exemplo.com.br
saudavel-0290;220,11;freelancer;0;17;financeiro+saudavel-0290@exemplo.com.br
saudavel-0291;188,35;CLT;1;13;financeiro+saudavel-0291@exemplo.com.br
saudavel-0292;248,49;PJ;0;15;financeiro+saudavel-0292@exemplo.com.br
saudavel-0293;164,66;CLT;3;10;financeiro+saudavel-0293@exemplo.com.br
saudavel-0294;138,06;PJ;1;14;financeiro+saudavel-0294@exemplo.com.br
saudavel-0295;40,51;CLT;3;15;financeiro+saudavel-0295@exemplo.com.br
saudavel-0296;121,22;freelancer;2;19;financeiro+saudavel-0296@exemplo.com.br
saudavel-0297;39,90;freelancer;1;17;financeiro+saudavel-0297@exemplo.com.br
saudavel-0298;164,60;CLT;4;16;financeiro+saudavel-0298@exemplo.com.br
saudavel-0299;141,61;PJ;4;13;financeiro+saudavel-0299@exemplo.com.br
saudavel-0300;299,83;PJ;2;17;financeiro+saudavel-0300@exemplo.com.br
saudavel-0301;150,45;freelancer;1;14;financeiro+saudavel-0301@exemplo.com.br
saudavel-0302;662,69;CLT;1;13;financeiro+saudavel-0302@exemplo.com.br
saudavel-0303;96,89;PJ;1;10;financeiro+saudavel-0303@exemplo.com.br
saudavel-0304;131,28;CLT;0;11;financeiro+saudavel-0304@exemplo.com.br
saudavel-0305;183,20;freelancer;1;13;financeiro+saudavel-0305@exemplo.com.br
saudavel-0306;137,80;PJ;3;10;financeiro+saudavel-0306@exemplo.com.br
saudavel-0307;306,81;freelancer;2;12;financeiro+saudavel-0307@exemplo.com.br
saudavel-0308;145,94;PJ;4;17;financeiro+saudavel-0308@exemplo.com.br
saudavel-0309;39,90;freelancer;0;15;financeiro+saudavel-0309@exemplo.com.br
saudavel-0310;75,54;freelancer;0;18;financeiro+saudavel-0310@exemplo.com.br
saudavel-0311;240,96;CLT;0;16;financeiro+saudavel-0311@exemplo.com.br
saudavel-0312;88,52;freelancer;1;15;financeiro+saudavel-0312@exemplo.com.br
saudavel-0313;146,87;PJ;1;11;financeiro+saudavel-0313@exemplo.com.br
saudavel-0314;130,92;CLT;1;18;financeiro+saudavel-0314@exemplo.com.br
saudavel-0315;148,23;freelancer;0;13;financeiro+saudavel-0315@exemplo.com.br
saudavel-0316;130,14;CLT;4;17;financeiro+saudavel-0316@exemplo.com.br
saudavel-0317;60,08;freelancer;1;16;financeiro+saudavel-0317@exemplo.com.br
saudavel-0318;122,02;freelancer;4;15;financeiro+saudavel-0318@exemplo.com.br
saudavel-0319;324,73;PJ;1;8;financeiro+saudavel-0319@exemplo.com.br
saudavel-0320;78,45;CLT;1;12;financeiro+saudavel-0320@exemplo.com.br
saudavel-0321;266,28;freelancer;2;16;financeiro+saudavel-0321@exemplo.com.br
saudavel-0322;281,28;CLT;0;20;financeiro+saudavel-0322@exemplo.com.br
saudavel-0323;152,58;PJ;1;13;financeiro+saudavel-0323@exemplo.com.br
saudavel-0324;260,95;PJ;0;13;financeiro+saudavel-0324@exemplo.com.br
saudavel-0325;97,79;PJ;2;12;financeiro+saudavel-0325@exemplo.com.br
saudavel-0326;46,53;PJ;1;9;financeiro+saudavel-0326@exemplo.com.br
saudavel-0327;67,42;PJ;0;12;financeiro+saudavel-0327@exemplo.com.br
saudavel-0328;39,90;PJ;1;13;financeiro+saudavel-0328@exemplo.com.br
saudavel-0329;114,91;PJ;0;11;financeiro+saudavel-0329@exemplo.com.br
